uniqname,section
student1,45
student2,45
student3,46
student4,47
student5,44
student6,41
student7,43
student8,44
student9,11
student10,33
student11,35
student12,48
student13,38
student14,27
student15,19
student16,27
student17,37
student18,38
student19,37
student20,39
student21,43
student22,37
student23,34
student24,29
student25,48
student26,34
student27,40
student28,23
student29,42
student30,48
student31,13
student32,36
student33,17
student34,37
student35,14
student36,23
student37,36
student38,42
student39,48
student40,12
student41,42
student42,17
student43,46
student44,34
student45,44
student46,12
student47,16
student48,37
student49,37
student50,33
student51,34
student52,40
student53,18
student54,15
student55,17
student56,33
student57,49
student58,12
student59,27
student60,39
student61,20
student62,36
student63,20
student64,12
student65,36
student66,19
student67,28
student68,45
student69,30
student70,34
student71,42
student72,36
student73,33
student74,47
student75,39
student76,46
student77,15
student78,18
student79,42
student80,47
student81,23
student82,14
student83,13
student84,42
student85,25
student86,40
student87,44
student88,45
student89,30
student90,48
student91,45
student92,42
student93,32
student94,14
student95,47
student96,38
student97,17
student98,20
student99,40
student100,15
student101,27
student102,29
student103,25
student104,35
student105,27
student106,27
student107,25
student108,49
student109,32
student110,28
student111,11
student112,47
student113,20
student114,38
student115,14
student116,21
student117,25
student118,43
student119,40
student120,25
student121,31
student122,41
student123,18
student124,36
student125,34
student126,37
student127,34
student128,27
student129,41
student130,38
student131,28
student132,28
student133,23
student134,24
student135,29
student136,43
student137,11
student138,12
student139,30
student140,45
student141,41
student142,15
student143,33
student144,31
student145,18
student146,11
student147,14
student148,35
student149,24
student150,44
student151,38
student152,37
student153,25
student154,17
student155,33
student156,48
student157,28
student158,40
student159,12
student160,40
student161,13
student162,20
student163,47
student164,25
student165,47
student166,21
student167,49
student168,16
student169,28
student170,31
student171,46
student172,41
student173,31
student174,43
student175,15
student176,33
student177,26
student178,47
student179,29
student180,27
student181,14
student182,44
student183,44
student184,32
student185,35
student186,40
student187,26
student188,34
student189,21
student190,35
student191,44
student192,28
student193,16
student194,34
student195,34
student196,23
student197,43
student198,32
student199,15
student200,41
student201,27
student202,14
student203,31
student204,16
student205,19
student206,37
student207,13
student208,11
student209,30
student210,30
student211,41
student212,45
student213,41
student214,39
student215,36
student216,41
student217,18
student218,41
student219,15
student220,19
student221,27
student222,32
student223,35
student224,36
student225,32
student226,11
student227,19
student228,13
student229,24
student230,39
student231,37
student232,34
student233,28
student234,33
student235,33
student236,46
student237,37
student238,28
student239,13
student240,44
student241,49
student242,13
student243,14
student244,41
student245,39
student246,40
student247,13
student248,42
student249,43
student250,45
student251,29
student252,41
student253,40
student254,14
student255,49
student256,38
student257,37
student258,36
student259,41
student260,26
student261,39
student262,12
student263,40
student264,38
student265,12
student266,32
student267,32
student268,37
student269,46
student270,30
student271,26
student272,24
student273,11
student274,31
student275,33
student276,27
student277,48
student278,27
student279,16
student280,19
student281,27
student282,26
student283,24
student284,46
student285,44
student286,13
student287,19
student288,46
student289,17
student290,28
student291,43
student292,48
student293,48
student294,11
student295,25
student296,31
student297,11
student298,36
student299,46
student300,13
student301,16
student302,23
student303,17
student304,30
student305,38
student306,38
student307,16
student308,20
student309,20
student310,20
student311,18
student312,41
student313,16
student314,16
student315,49
student316,30
student317,20
student318,16
student319,17
student320,37
student321,22
student322,33
student323,27
student324,35
student325,14
student326,36
student327,14
student328,19
student329,42
student330,38
student331,17
student332,38
student333,23
student334,30
student335,20
student336,16
student337,15
student338,14
student339,25
student340,29
student341,15
student342,17
student343,26
student344,13
student345,46
student346,30
student347,49
student348,27
student349,11
student350,49
student351,43
student352,23
student353,27
student354,33
student355,26
student356,40
student357,41
student358,30
student359,29
student360,22
student361,47
student362,33
student363,46
student364,45
student365,24
student366,26
student367,49
student368,23
student369,11
student370,31
student371,43
student372,26
student373,17
student374,33
student375,17
student376,43
student377,25
student378,16
student379,25
student380,31
student381,16
student382,21
student383,38
student384,11
student385,40
student386,18
student387,32
student388,32
student389,21
student390,31
student391,26
student392,32
student393,42
student394,16
student395,26
student396,15
student397,35
student398,17
student399,23
student400,38
student401,28
student402,14
student403,48
student404,24
student405,47
student406,31
student407,34
student408,28
student409,24
student410,40
student411,43
student412,49
student413,24
student414,37
student415,33
student416,15
student417,48
student418,21
student419,36
student420,16
student421,39
student422,33
student423,33
student424,26
student425,49
student426,39
student427,23
student428,16
student429,33
student430,17
student431,25
student432,38
student433,31
student434,17
student435,30
student436,43
student437,18
